Key,Id,English(en),Japanese(ja),Latvian(lv),Spanish(es)
O_DIMOND_DES,,Stars Buried in Stone,石に埋もれた星々,Akmenī apraktās zvaigznes,Estrellas enterradas en la piedra
O_GOLD_DES,,The Tears of Greedy Gods,貪欲な神々の涙,Alkstošo dievu asaras,Las lágrimas de los dioses codiciosos
O_IRON_DES,,The Bones of the Ancients,太古の者たちの骨,Senču kauli,Los huesos de los antiguos
F_BREAD_DES,,Black and dense could be used as a weapon in a pinch.,真っ黒で濃厚なこの一品は、いざという時には武器にもなり得る。,Melna un blīva – ārkārtas gadījumā to varētu izmantot kā ieroci.,"Negado y denso, podría servir de arma en caso de apuro."
F_BEER_DES,,A classic.,定番の一品だ。,Klasika.,Todo un clásico.
F_PIE_DES,,"After the second slice, you start to see the ‘spirits of your ancestors’",2切れ目を食べると、「先祖の霊」が見えてくる。,Pēc otrās šķēles sāk parādīties „senču gari“,"Tras la segunda porción, empiezas a ver a los «espíritus de tus antepasados»."
F_RABBIT_DES,,Rabbit and lots and lots and lots of spices.,ウサギ肉と、山ほど、山ほど、山ほどのスパイス。,"Trušis un ļoti, ļoti daudz garšvielu.",Conejo y montones y montones y montones de especias.
A_HEAD1_DES,,"""Yes, it’s literally a bucket. But a very sturdy one. Boromir even used it to cook soup.""",「そう、文字通りバケツなんだ。でも、すごく頑丈なやつだよ。ボロミアはこれを使ってスープを作ったりもしたんだ。」,"“Jā, tas patiešām ir vienkārši spainis. Bet ļoti izturīgs. Boromirs to pat izmantoja zupas vārīšanai.”","«Sí, es literalmente un cubo. Pero uno muy resistente. Boromir incluso lo usó para cocinar sopa»."
A_HEAD3_DES,,"A heavy helmet with a hammer engraved on the forehead. Legend has it that it was once struck by lightning. Now, its owner sometimes hears the approving grumbling of his ancestors.",額にハンマーが刻まれた重厚な兜。かつて雷に打たれたという伝説がある。今では、持ち主は時折、先祖たちが満足そうに唸る声を耳にするという。,"Smags ķivere ar āmuru, kas iegravēts uz pieres. Leģenda stāsta, ka to kādreiz skāra zibens. Tagad tās īpašnieks dažkārt dzird savu senču apstiprinošu murmināšanu.","Un pesado yelmo con un martillo grabado en la frente. Cuenta la leyenda que en su día fue alcanzado por un rayo. Ahora, su dueño oye a veces los gruñidos de aprobación de sus antepasados."
A_HEAD2_DES,,"A simple but sturdy helmet with horns. ""The dwarves say the horns aren’t just for show, but to make it easier to grip the rocks in the mine.""",角のついた、シンプルだが頑丈な兜。「ドワーフたちによれば、この角は単なる飾りではなく、坑道の岩を掴みやすくするためのものだそうだ。」,"Vienkāršs, bet izturīgs ķivere ar ragiem. “Rūķi saka, ka ragi nav tikai parādībai, bet lai vieglāk varētu satvert akmeņus raktuvē.”","Un yelmo sencillo pero robusto con cuernos. «Los enanos dicen que los cuernos no son solo para lucirlos, sino para facilitar el agarre a las rocas de la mina»."
A_BODY4_DES,,"Made from the scales of a young dragon that the dwarves ""accidentally"" found in a mine. It smells of sulphur and pride.",ドワーフたちが坑道で「偶然」見つけた、若いドラゴンの鱗で作られている。硫黄と誇りの匂いがする。,"Izgatavota no jauna pūķa zvīņām, ko rūķi “nejauši” atrada raktuvē. No tās smaržo pēc sēra un lepnuma.",Hecho con las escamas de un dragón joven que los enanos encontraron «por casualidad» en una mina. Huele a azufre y a orgullo.
A_BOOTS3_DES,,The ground trembles slightly with every step. Perfect for scaring the elves.,一歩踏み出すたびに地面がわずかに揺れる。エルフを怖がらせるのに最適だ。,"Zeme nedaudz dreb ar katru soli. Ideāli piemērota, lai biedētu elfus.",El suelo tiembla ligeramente con cada paso. Perfecto para asustar a los elfos.
A_BODY3_DES,,Forged from iron veined with red quartz. It looks as though molten stone is flowing from the chest.,赤水晶の筋が入った鉄で鍛え上げられた。胸元から溶けた石が流れ出ているかのように見える。,"Kalts no dzelzs ar sarkanu kvarca dzīslu. Izskatās, it kā no krūtīm plūstu izkausēts akmens.",Forjado en hierro veteado de cuarzo rojo. Parece como si fluyera piedra fundida desde el pecho.
A_BODY2_DES,,"Decorated with an image of a mug. ‘As long as you’re drinking, you’re invincible. After the fifth mug, you’re immortal (in your own eyes).’",ジョッキの絵柄が飾られている。「飲んでいる限り、無敵だ。5杯目を飲み干せば、不死身になる（自分の中ではな）」,"Rotāts ar krūzes attēlu. „Kamēr tu dzer, tu esi neuzvarams. Pēc piektās krūzes tu esi nemirstīgs (savās acīs).”","Decorado con la imagen de una jarra. «Mientras estés bebiendo, eres invencible. Después de la quinta jarra, eres inmortal (a tus propios ojos)»."
A_BOOTS2_DES,,"The soles are fitted with real iron spikes. The dwarves claim this is for better grip on stone. In reality, they just love to stomp about loudly.",靴底には本物の鉄の棘が打ち込まれている。ドワーフたちは、石の上でのグリップを良くするためだと言っている。実のところ、彼らはただ大きな音を立てて踏み鳴らすのが好きなだけだ。,"Zolēs ir iestrādāti īsti dzelzs smaili. Rūķi apgalvo, ka tas ir labākai saķerei ar akmeni. Patiesībā viņiem vienkārši patīk skaļi staigāt.","Las suelas están provistas de púas de hierro auténtico. Los enanos afirman que es para tener un mejor agarre sobre la piedra. En realidad, simplemente les encanta pisotear ruidosamente."
A_BODY1_DES,,"A chainmail shirt, with a small stone bearing the name of an ancestor fused into each link. Very heavy. Very noisy. Very dwarven.",鎖帷子の鎧。各リンクには、先祖の名前が刻まれた小さな石が溶接されている。非常に重く、非常に騒がしく、まさにドワーフらしい。,"Ķēžu bruņas, kurās katrā posmā ir iestrādāts mazs akmens ar senča vārdu. Ļoti smagas. Ļoti trokšņainas. Ļoti rūķiskas.","Una cota de malla, con una pequeña piedra que lleva el nombre de un antepasado fundida en cada eslabón. Muy pesada. Muy ruidosa. Muy enana."
A_BOOTS1_DES,,"Extremely durable. Even when you’re really tired, you’ll stay on your feet. Tested by several generations.",極めて耐久性が高い。どんなに疲れていても、立ち続けることができる。数世代にわたって実証済みだ。,"Ļoti izturīgas. Pat ja esi patiešām noguris, tu paliksi uz kājām. Pārbaudītas vairāku paaudžu garumā.","Extremadamente resistente. Incluso cuando estés realmente cansado, te mantendrás en pie. Probada por varias generaciones."
O_COIN_DES,,Coin - money.,コイン - お金。,Monēta – nauda.,Moneda - dinero.
O_EXP_DES,,exp,exp,papildinājums,exp
